"game_id","line.x.team1","spread.team1","line.y.team1","first_downs.team1","total_yards.team1","passing.team1","yards_per_pass.team1","rushing.team1","rushing_attempts.team1","yards_per_rush.team1","turnovers.team1","fumbles_lost.team1","ints_thrown.team1","possession.team1","score.team1","third_downs.team1","third_down_att.team1","fourth_downs.team1","fourth_down_att.team1","penalties.team1","penalty_yards.team1","X3.team1","count.team1.x","season_1H_third_down_total.team1","season_1H_third_down_att_total.team1","season_1H_third_down_conv.team1","season_1H_fourth_down_total.team1","season_1H_yards_total.team1","season_1H_pass_yards_total.team1","season_1H_fourth_down_avg.team1","season_1H_yards_avg.team1","season_1H_pass_yards_avg.team1","season_1H_penalty_yards_total.team1","season_1H_penalty_yards_avg.team1","season_1H_turnovers_total.team1","season_1H_turnovers_avg.team1","first_downs.team2","total_yards.team2","passing.team2","yards_per_pass.team2","rushing.team2","rushing_attempts.team2","yards_per_rush.team2","turnovers.team2","fumbles_lost.team2","ints_thrown.team2","possession.team2","score.team2","third_downs.team2","third_down_att.team2","fourth_downs.team2","fourth_down_att.team2","penalties.team2","penalty_yards.team2","X3.team2","count.team2.x","season_1H_third_down_total.team2","season_1H_third_down_att_total.team2","season_1H_third_down_conv.team2","season_1H_fourth_down_total.team2","season_1H_yards_total.team2","season_1H_pass_yards_total.team2","season_1H_fourth_down_avg.team2","season_1H_yards_avg.team2","season_1H_pass_yards_avg.team2","season_1H_penalty_yards_total.team2","season_1H_penalty_yards_avg.team2","season_1H_turnovers_total.team2","season_1H_turnovers_avg.team2","game_date.x.x.team1","team.team1","third_downs_2H.team1","third_down_att_2H.team1","fourth_downs_2H.team1","fourth_down_att_2H.team1","penalties_2H.team1","penalty_yards_2H.team1","total_yards_2H.team1","pass_yards_2H.team1","turnovers_2H.team1","score.y.team1","count.team1.y","season_2H_third_down_total.team1","season_2H_third_down_att_total.team1","season_2H_third_down_conv.team1","season_2H_fourth_down_total.team1","season_2H_yards_total.team1","season_2H_pass_yards_total.team1","season_2H_fourth_down_avg.team1","season_2H_yards_avg.team1","season_2H_pass_yards_avg.team1","season_2H_penalty_yards_total.team1","season_2H_penalty_yards_avg.team1","season_2H_turnovers_total.team1","season_2H_turnovers_avg.team1","game_date.x.x.team2","team.team2","third_downs_2H.team2","third_down_att_2H.team2","fourth_downs_2H.team2","fourth_down_att_2H.team2","penalties_2H.team2","penalty_yards_2H.team2","total_yards_2H.team2","pass_yards_2H.team2","turnovers_2H.team2","score.y.team2","count.team2.y","season_2H_third_down_total.team2","season_2H_third_down_att_total.team2","season_2H_third_down_conv.team2","season_2H_fourth_down_total.team2","season_2H_yards_total.team2","season_2H_pass_yards_total.team2","season_2H_fourth_down_avg.team2","season_2H_yards_avg.team2","season_2H_pass_yards_avg.team2","season_2H_penalty_yards_total.team2","season_2H_penalty_yards_avg.team2","season_2H_turnovers_total.team2","season_2H_turnovers_avg.team2"
400603841,"54","+37","21.5",3,37,46,1.6,-9,11,-0.8,1,0,1,"14:44",0,0,10,1,3,1,5,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,175,80,3.8,95,21,4.5,1,0,1,"15:16",14,2,9,1,2,2,25,"2",2,6,10,0.6,0,214,133,0,214,133,19,19,3,3,"09/26/2015","ULM",3,10,0,1,9,85,55,37,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/26/2015","ALA",0,4,0,1,5,47,128,86,0,34,2,5,10,0.5,1,289,155,1,289,155,17,17,2,2
400603843,"58.5","+1.5","27",10,200,180,9,20,7,2.9,0,0,0,"10:06",14,3,4,0,0,3,25,"3",2,0,7,0,0,109,88,0,109,88,25,25,0,0,12,180,92,8.4,88,26,3.4,1,0,1,"19:54",0,2,6,0,0,3,25,"3",2,2,6,0.333333333333333,0,70,36,0,70,36,21,21,1,1,"09/26/2015","MSST",1,8,0,1,1,5,126,90,1,17,2,3,8,0.375,1,269,247,1,269,247,20,20,0,0,"09/26/2015","AUB",2,8,0,0,3,15,209,96,0,9,2,1,4,0.25,1,190,64,1,190,64,5,5,1,1
400603844,"51","-1","25.5",9,254,106,8.2,148,23,6.4,0,0,0,"15:07",17,1,7,1,1,0,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,202,115,5.8,87,17,5.1,1,0,1,"14:53",7,1,7,1,1,1,6,"1",2,2,7,0.285714285714286,2,165,94,2,165,94,25,25,0,0,"09/26/2015","TENN",6,9,0,0,4,25,165,59,1,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/26/2015","FLA",2,8,4,4,3,19,190,168,0,28,2,0,4,0,0,80,31,0,80,31,36,36,1,1
400603847,"53.5","+27","26",7,111,77,3.8,34,20,1.7,0,0,0,"16:08",3,5,12,0,0,5,34,"5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,278,226,7.5,52,18,2.9,1,0,1,"13:51",13,2,9,1,1,4,45,"4",2,2,7,0.285714285714286,1,95,36,1,95,36,40,40,0,0,"09/26/2015","VAN",5,10,0,2,3,9,211,117,0,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/26/2015","MISS",1,4,0,0,7,74,194,95,1,27,2,2,7,0.285714285714286,0,338,305,0,338,305,17,17,0,0
400603850,"52.5","+9","25.5",5,95,36,2.6,59,14,4.2,0,0,0,"10:28",17,2,7,1,1,4,40,"4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,214,133,5.5,81,22,3.7,3,2,1,"19:32",10,6,10,0,1,2,19,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","MISS",2,7,0,1,4,17,338,305,0,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","ALA",5,10,1,3,2,17,289,155,2,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400603851,"70","+10.5","34.5",6,142,60,6,82,9,9.1,1,0,1,"6:11",14,3,4,0,0,1,5,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,106,51,8.5,55,13,4.2,1,0,1,"9:44",7,2,4,0,0,1,9,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","TTU",4,6,0,0,3,26,344,255,1,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","ARK",5,7,0,0,4,34,318,145,1,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400603852,"54","+14.5","27.5",11,150,66,4.7,84,19,4.4,0,0,0,"16:02",13,4,7,0,0,0,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,323,190,12.7,133,19,7,0,0,0,"13:58",24,1,2,0,0,3,24,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","SC",0,7,1,2,4,40,108,18,1,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","UGA",0,2,0,0,4,50,253,140,1,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400603853,"52.5","-3.5","24",10,165,94,7.2,71,21,3.4,0,0,0,"17:27",14,2,7,2,2,5,25,"5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,110,43,4.3,67,18,3.7,1,0,1,"12:33",3,3,6,0,0,2,25,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","FLA",0,4,0,0,5,36,80,31,1,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","UK",3,12,2,3,3,12,131,83,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400603854,"49.5","+7","22.5",6,70,36,2.8,34,14,2.4,1,0,1,"11:19",0,2,6,0,0,3,21,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,307,40,4,267,27,9.9,0,0,0,"18:41",24,5,7,0,0,1,8,"1",2,2,6,0.333333333333333,0,177,56,0,177,56,50,50,0,0,"09/19/2015","AUB",1,4,1,1,1,5,190,64,1,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","LSU",1,4,0,0,4,35,178,34,0,45,2,2,7,0.285714285714286,0,160,15,0,160,15,45,45,0,0
400603858,"65","+32.5","31",7,161,70,5,91,20,4.6,0,0,0,"15:46",10,0,7,1,1,2,14,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,307,203,8.8,104,19,5.5,1,1,0,"14:14",24,1,5,0,0,3,13,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","NEV",4,9,0,0,1,15,198,136,1,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/19/2015","TAMU",3,7,0,0,2,22,228,99,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
